Algorithm,Network,Scenario,Total User Current Consumption (W),Total Owner Current Consumption (W),Total User Time Spent (s),Total Owner Time Spent (s),Consent collected from,Total user number,Consent Percentage (%),Total runtime (min),Average User Utility,Total Owner Utility
alanezi,ble,university,9.67,16.79,2680.95,2680.95,2690,6819,39.45,493.63,30.34,17.47
alanezi,ble,university,10.71,18.59,2969.84,2969.84,2980,6860,43.44,645.65,33.7,19.4
alanezi,ble,hospital,0.72,1.25,200.31,200.31,201,204,98.53,1555.15,34.54,40.11
alanezi,ble,hospital,0.69,1.2,191.36,191.36,192,194,98.97,1487.97,45.23,40.43
alanezi,ble,shopping_mall,1.5,2.59,413.63,413.63,415,1530,27.12,774.07,21.51,12.44
alanezi,ble,shopping_mall,1.29,2.24,358.71,358.71,360,1434,25.1,614.05,19.72,11.38
alanezi,zigbee,university,1840.89,1853.77,21482.78,21482.78,6819,6819,100.0,646.78,12.14,67.32
alanezi,zigbee,university,1854.68,1867.53,21612.89,21612.89,6860,6860,100.0,588.11,13.03,67.11
alanezi,zigbee,hospital,54.47,54.84,633.31,633.31,201,204,98.53,1488.0,35.51,63.33
alanezi,zigbee,hospital,51.96,52.32,604.93,604.93,192,194,98.97,1452.64,41.06,66.74
alanezi,zigbee,shopping_mall,266.6,268.39,3094.24,3094.24,982,1530,64.18,944.53,48.41,48.19
alanezi,zigbee,shopping_mall,242.98,244.84,2875.14,2875.14,913,1434,63.67,916.31,48.0,48.2
alanezi,lora,university,20.28,8.69,790237.84,790237.84,6818,6819,99.99,558.94,11.35,149.36
alanezi,lora,university,20.5,8.78,798557.96,798557.96,6860,6860,100.0,592.39,12.2,149.61
alanezi,lora,hospital,0.6,0.26,23562.16,23562.16,201,204,98.53,1468.32,38.09,142.34
alanezi,lora,hospital,0.58,0.25,22419.03,22419.03,192,194,98.97,1480.47,39.2,141.58
alanezi,lora,shopping_mall,4.5,1.93,175319.32,175319.32,1529,1530,99.93,740.77,12.45,154.24
alanezi,lora,shopping_mall,4.13,1.77,161036.43,161036.43,1434,1434,100.0,875.35,14.23,158.7
cunche,ble,university,3.22,18.0,2865.42,2866.27,2875,6819,42.16,574.27,32.97,6.0
cunche,ble,university,3.35,18.74,2984.02,2984.91,2994,6860,43.64,587.42,34.15,6.22
cunche,ble,hospital,0.23,1.26,201.33,201.39,202,204,99.02,1523.24,66.71,12.48
cunche,ble,hospital,0.22,1.21,193.35,193.41,194,194,100.0,1464.04,69.67,12.96
cunche,ble,shopping_mall,0.5,2.81,447.5,447.64,449,1530,29.35,763.28,24.0,4.32
cunche,ble,shopping_mall,0.45,2.54,403.65,403.77,405,1434,28.24,742.61,22.86,4.15
cunche,zigbee,university,1600.39,1591.63,21385.72,21385.72,6819,6819,100.0,506.19,68.25,72.52
cunche,zigbee,university,1610.02,1601.2,21514.3,21514.3,6860,6860,100.0,541.95,68.12,72.83
cunche,zigbee,hospital,47.88,47.62,639.78,639.78,204,204,100.0,1460.75,70.47,74.41
cunche,zigbee,hospital,45.3,45.05,605.29,605.29,193,194,99.48,1531.83,66.75,69.08
cunche,zigbee,shopping_mall,223.43,222.21,2985.66,2985.66,952,1530,62.22,844.84,48.71,50.17
cunche,zigbee,shopping_mall,214.04,212.87,2860.21,2860.21,912,1434,63.6,1045.56,49.86,51.33
cunche,lora,university,210.19,148.76,3261598.62,3261598.62,6819,6819,100.0,568.07,67.93,101.16
cunche,lora,university,211.45,149.65,3281209.34,3281209.34,6860,6860,100.0,501.39,68.22,102.12
cunche,lora,hospital,6.29,4.45,97575.32,97575.32,204,204,100.0,1483.14,66.01,97.02
cunche,lora,hospital,5.98,4.23,92792.22,92792.22,194,194,100.0,1672.27,67.44,98.66
cunche,lora,shopping_mall,47.16,33.38,731814.91,731814.91,1530,1530,100.0,669.61,69.12,103.92
cunche,lora,shopping_mall,44.2,31.28,685897.11,685897.11,1434,1434,100.0,795.5,69.86,104.11
concession,ble,university,3.11,17.36,2763.76,2764.58,2773,6819,40.67,506.3,26.94,4.82
concession,ble,university,3.35,18.72,2981.03,2981.92,2991,6860,43.6,581.31,29.26,5.24
concession,ble,hospital,0.23,1.27,202.32,202.38,203,204,99.51,1504.52,67.15,12.03
concession,ble,hospital,0.22,1.21,193.35,193.41,194,194,100.0,1477.43,65.41,12.29
concession,ble,shopping_mall,0.5,2.82,448.5,448.63,450,1530,29.41,798.42,21.41,3.83
concession,ble,shopping_mall,0.45,2.52,400.66,400.78,402,1434,28.03,1037.76,21.11,3.78
concession,zigbee,university,1600.39,1591.63,21385.72,21385.72,6819,6819,100.0,536.73,68.2,68.54
concession,zigbee,university,1610.02,1601.2,21514.3,21514.3,6860,6860,100.0,512.56,68.71,69.4
concession,zigbee,hospital,47.64,47.38,636.65,636.65,203,204,99.51,1559.45,67.34,67.68
concession,zigbee,hospital,45.3,45.05,605.29,605.29,193,194,99.48,1502.59,67.68,68.02
concession,zigbee,shopping_mall,221.08,219.87,2954.3,2954.3,942,1530,61.57,802.91,40.41,40.61
concession,zigbee,shopping_mall,207.47,206.34,2772.4,2772.4,884,1434,61.65,851.92,40.52,40.71
concession,lora,university,210.19,148.76,3261598.62,3261598.62,6819,6819,100.0,496.63,67.91,95.74
concession,lora,university,211.45,149.65,3281209.34,3281209.34,6860,6860,100.0,630.82,68.11,95.92
concession,lora,hospital,6.2,4.38,96140.39,96140.39,201,204,98.53,1569.43,66.49,93.51
concession,lora,hospital,5.98,4.23,92792.22,92792.22,194,194,100.0,1533.51,65.69,105.8
concession,lora,shopping_mall,47.16,33.38,731814.91,731814.91,1530,1530,100.0,607.06,69.32,102.09
concession,lora,shopping_mall,44.2,31.28,685897.11,685897.11,1434,1434,100.0,723.12,65.12,109.81
